gene	neg.1	neg.2	day1.1	day1.2
AK074077	7.42	3.91	7.38	6.24
NM_000417	7.39	2.79	7.4	2.8
NM_001001560	22200	18200	8810	14000
AW451975	7.28	3.11	7.4	2.81
AI970518	32.6	53.9	22.3	46.8
NM_006609	1390	1220	670	1280
NM_006520	252	498	233	646
THC2373712	6.96	2.84	7.29	2.83
NM_007007	2130	3300	1170	2450
BC051742	24.1	39.3	34.2	40.2
NM_002692	768	1450	676	806
NM_000020	6.53	2.86	7.09	2.84
A_24_P144183	5910	11900	8250	9540
NM_022143	10.7	8.16	6.96	10.2
NM_053056	365	790	449	403
NM_016103	1680	2700	2130	3060
NM_022149	2670	3710	2850	3550
NM_018074	2110	2460	1910	1980
NM_018285	4090	5450	3210	3780
BC040290	14.6	21	30.8	23.6
BC065737	700	1420	920	1210
AK130716	5.57	13.2	6.45	5.55
NM_007354	5.21	2.9	6.39	2.84
NM_014447	19.7	52	37.4	73.3
NM_000059	52	57.9	53.8	61.4
NM_025140	563	757	974	1230
BM684461	96.1	135	93.5	106
R60067	4.67	2.92	6.14	2.85
NM_201434	416	447	586	448
ENST00000355828	16.3	26.5	22.9	40.8
NM_020831	411	490	387	439
H16080	8.39	2.94	6	7.67
A_32_P202587	55.5	69.8	47.1	58.4
AK023669	423	699	488	660
A_32_P93584	2130	3340	2710	4130
THC2393794	36.6	35.8	39.6	43.3
BE218351	63.9	92.2	69.8	91
THC2378275	38.5	62.4	35.2	48.7
NM_015446	1210	1960	884	1200
NM_033448	11.5	15.2	14.3	12.4
AK091348	35.2	55.4	48.8	65.4
AK054756	75.8	78.6	88.3	66.1
NM_080672	3.52	2.99	5.95	2.89
NR_001530	3.47	3	5.97	2.9
NM_002502	703	1230	767	984
RC1	3.38	3.01	6.03	2.91
NM_001024455	124	159	257	278
AF334945	78.8	96.1	125	90.3
NM_004300	4390	6420	4010	4220
NM_002577	275	447	240	422
NM_003748	1850	1800	3100	2700
ENST00000367242	316	496	273	512
NM_003787	28.4	71.5	29.7	105
NM_033406	154	336	131	371
A_24_P144625	201	297	217	261
M55405	41.3	130	26.2	104
NM_014205	536	734	487	604
NM_206880	3.08	3.06	6.63	2.94
NM_031895	24.3	53.6	22.7	33.5
NM_022094	282	477	223	358
AI028577	10.9	10.3	8.86	9.67
ENST00000299997	120	213	128	185
AF086442	38.7	53.6	38.4	54.1
AF086790	48	89.7	50	77.5
NR_002815	159	340	214	330
NM_002228	7770	9060	9630	7880
A_24_P366535	4510	6200	4800	4600
DarkCorner	3.08	3.04	7.26	2.88
DarkCorner	3.09	3.03	7.3	2.86
DarkCorner	3.1	3.02	7.35	2.85
DarkCorner	3.12	3.01	7.38	2.83
DarkCorner	3.13	3	7.4	2.81
DarkCorner	3.15	2.98	7.43	2.79
DarkCorner	3.17	2.97	7.44	2.76
DarkCorner	3.19	2.95	7.43	2.74
DarkCorner	3.21	2.93	7.42	2.71
DarkCorner	6.98	2.64	6.56	2.64
DarkCorner	7.09	2.66	6.71	2.66
DarkCorner	7.19	2.68	6.85	2.68
DarkCorner	7.27	2.69	6.97	2.7
DarkCorner	7.33	2.71	7.08	2.72
DarkCorner	7.38	2.73	7.17	2.74
DarkCorner	9.74	2.74	7.25	2.75
DarkCorner	7.42	2.76	7.31	2.77
DarkCorner	7.43	2.77	7.36	2.78
A_23_P113692	7.41	3.05	7.39	2.79
NM_005904	846	981	608	1050
NM_002957	433	500	474	594
NM_199342	825	1190	651	1330
CR610211	196	240	191	454
BC007960	674	731	724	984
NM_001017923	96.5	170	108	211
NM_000618	6.99	2.84	7.32	2.83
NM_032850	3600	4140	1590	4100
NM_006600	29000	35800	24000	31200
NM_000176	841	1700	1600	1840
NM_145169	13300	22800	18700	23000
NM_018055	6.46	3.8	7.62	7.12
NM_002125	25	163	80.2	280
NM_005005	55300	119000	89300	93000
NM_013446	469	795	856	924
A_24_P289834	40.7	57.7	50.9	55.4
NM_001008397	1200	2080	1400	1900
AK000832	148	205	143	163
NM_000419	31.8	50.8	75	82.4
NM_000364	5.93	5.67	6.55	4.93
NM_004080	5.38	2.9	6.49	2.85
NM_001753	9950	11000	9600	10500
NM_033540	451	646	512	600
THC2440737	5.04	2.91	6.31	2.85
NM_207303	10.3	13	8.07	20
NM_004071	1460	2380	1840	2360
NM_001733	51.2	14.2	53	26.8
THC2441235	4.62	5.33	6.12	2.85
NM_033254	7.73	8.7	6.91	12.2
NM_004530	8.61	13.2	8.24	15.4
THC2334811	4.33	2.93	6.02	2.86
NM_015342	2980	5720	3220	4950
NM_006696	6910	9690	8590	12000
NM_002169	9.95	3.84	5.95	5.19
NM_014718	44.9	24.5	64.3	51.3
NM_002343	3.93	2.96	5.92	5.16
THC2375712	14.9	11.4	16	20.5
ENST00000374274	8180	12900	9140	11800
NM_006785	644	1240	841	1180
AF146694	10.7	13.6	5.92	4.82
BC018548	9.54	8.96	12.9	17
AT_W_5	3.56	2.99	5.95	2.9
BC007072	295	457	316	396
NM_198229	29.7	42.1	48.6	56.8
ENST00000361429	131	234	144	174
A_24_P914208	1180	1590	1530	1480
BC050552	846	853	989	723
NM_014729	5.2	5.76	19.1	18.5
NM_001010915	3.26	3.03	6.16	2.93
NM_000960	198	310	201	326
A_24_P522399	3.21	3.04	6.25	2.94
NM_205848	3.18	3.05	6.3	2.94
NM_001864	4.62	8.35	6.36	10.8
NM_207474	316	532	256	521
NM_022129	49	78.2	38	115
