gene	neg.1	neg.2	day1.1	day1.2
AF174394	5.26	6.26	8.11	2.53
A_24_P238896	350	650	223	469
NM_001003716	29.8	29	18.8	19.9
NM_021078	11500	20300	7440	14200
NM_005901	2190	3360	2390	3630
NM_001119	225	202	215	215
NM_003202	357	562	753	1050
A_32_P223747	14.7	26.5	10.9	28.8
XM_209655	168	196	180	228
NM_005768	424	659	253	486
ENST00000361227	1220	2140	1390	2360
NM_032233	495	1190	555	1170
NM_000230	5.44	2.35	6.9	2.43
BC041875	104	136	86.6	105
NM_147204	10.7	2.68	6.81	3.31
THC2428861	39.7	8.31	31.1	9.14
NM_016315	1180	1400	1080	1290
NM_005226	31.6	32.7	47.8	31.3
THC2289132	36.9	24.5	25.6	22
NM_201444	10.1	22	11.8	26.5
NM_024322	1010	1310	797	1200
NM_015528	17300	16200	14400	14400
NM_018306	109	121	126	159
NM_001012507	2450	3990	2400	5390
AB033027	4.64	2.25	6.13	2.4
ENST00000295628	91.8	100	66.5	82
NM_080669	99.3	94.5	57.3	63.9
NM_002789	13900	18700	13100	18800
NM_006690	18.4	8.27	5.85	7.96
NM_006580	4.44	2.21	5.79	2.38
THC2371284	4.4	2.46	5.73	5.57
BQ775944	4.37	7.1	16.6	13.7
NM_006429	32200	48200	29800	42400
NM_139178	438	748	368	605
NM_006360	12700	21900	7810	16500
NM_015075	5120	6900	4430	7220
CR992331	125	249	85.8	157
NM_004816	218	206	336	441
NM_018092	386	930	467	857
NM_001079	4.13	3.55	5.33	3.41
NM_144970	146	312	133	262
NM_015886	4.09	5.61	5.29	8.67
NM_012217	6.82	2.17	5.27	2.35
NM_001005781	2010	4590	1980	4390
THC2443199	19.1	49.6	27.5	75.3
A_24_P605798	4.04	2.18	5.25	2.41
NM_138573	83	7.88	50.4	11.9
NM_000576	4.03	3.17	5.27	8.55
THC2279840	17.7	27.8	10.4	28.6
NM_018265	6.76	12.8	5.3	18.5
NM_006306	886	914	1090	1400
BX538250	3530	3560	2860	3390
CD688871	4.04	8.92	5.38	2.38
RC7	4.05	2.21	5.42	2.39
AW467174	552	902	507	844
BX111514	4.07	4.1	5.5	2.4
NM_024638	2040	3410	1380	2470
AK094623	505	774	487	698
NM_000155	595	874	918	1110
NM_000576	4.15	2.25	5.74	12.3
NM_001432	4.18	2.26	5.81	2.43
NM_030950	3360	4900	2500	2920
NM_198576	612	1150	785	1300
BC008026	15.9	17.5	6.8	21
NM_006174	4.3	2.3	6.13	2.46
NM_033358	11.5	18	11.9	19.9
BQ310837	111	206	80.1	208
AK056421	1640	2160	1900	2080
NM_001002296	561	938	290	590
NM_004972	117	204	93.2	253
NM_017425	1520	3720	1580	4470
NM_002443	4.59	2.37	6.84	2.52
A_24_P912502	4.64	2.39	6.95	2.52
NM_183421	1870	3430	1960	4310
A_23_P126560	4.74	2.41	7.17	4.35
NM_000873	4.79	3.77	7.27	5.28
X94553	2330	3920	2310	4670
AF038199	868	973	888	832
NM_033495	25.9	101	33.7	94.9
NM_000638	12.6	64.1	16.5	50
THC2314599	71	145	89	95.6
NM_000618	5.1	4.11	7.87	2.54
ENST00000321688	5.15	2.48	7.95	3.01
NegativeControl	5.19	2.48	8.02	2.54
A_32_P136477	69	108	97.2	94.7
NM_001007467	481	581	528	606
NM_002934	5.78	2.49	8.18	2.51
NM_001650	5.36	2.49	8.2	2.5
NM_003257	2240	3380	2020	3600
BC034306	5.02	2.4	6.83	2.37
AL555100	2220	2900	2040	2670
NM_144723	1340	1760	1140	1690
NM_006937	11800	16600	10800	14900
A_24_P560332	26.2	23	28.5	13.5
NM_001001851	5.09	2.38	6.96	2.42
NM_177398	30.8	31.2	35.7	23
NM_006938	6240	16100	3750	12800
NM_024782	93.1	153	73.7	122
ENST00000324559	5.04	2.34	6.86	2.43
NM_002613	1200	1900	1380	1960
AK096225	4.99	2.33	6.77	2.43
NM_052916	18	19.6	21.8	29.7
A_32_P306001	4.93	2.31	7.26	3.52
NM_000164	287	267	217	236
AK057533	4.85	2.29	6.51	2.42
NM_022662	53.1	59	45.7	46
NM_021825	1170	1470	539	1490
NM_033173	4.74	11	6.3	2.48
AK024440	235	284	321	342
NM_152267	382	292	304	302
NM_145906	776	1020	472	595
NM_024705	78.7	127	186	204
NM_001085	41.6	44.4	38.3	60
THC2341174	4.5	2.22	5.88	2.39
NM_000514	4.46	2.21	5.81	2.38
NM_144724	61	33.4	51.4	38.5
A_24_P42014	70400	111000	56400	102000
NM_001002260	274	341	391	542
NM_080425	90700	98400	102000	116000
NM_207511	105	12.9	90.8	9.39
NegativeControl	4.25	2.18	5.48	2.36
NM_001012338	4.22	9.57	5.44	10.4
NM_018155	2490	2680	1480	2280
NM_000510	4.17	2.17	5.37	2.35
NM_002772	4.14	2.17	9.56	2.35
NM_003853	4.12	2.17	5.31	2.35
NM_000249	9520	12700	8630	12900
NM_176890	7.03	2.61	5.27	2.35
NM_139246	14.4	19.8	11.8	15
NM_152538	4.06	2.17	5.25	2.35
NM_003195	429	925	529	1360
NM_152732	67.9	103	77.4	184
NM_145039	1230	1780	952	1510
NM_000060	18.9	37.6	24.7	86.8
NM_006509	28300	41900	26700	44500
NM_000131	6.58	6.49	5.3	4.14
NM_032986	1070	1500	1000	1260
AT_P_3	4.03	2.2	5.36	2.38
A_32_P192586	39.9	35.3	32.6	31.8
AK055795	15.5	6.97	5.43	2.88
ENST00000382579	279	589	285	445
BC104478	22400	47800	19200	37400
NM_004229	4.1	2.23	5.58	2.4
NM_002222	66.1	220	164	214
THC2416008	66	224	210	244
NM_006946	83.4	119	113	114
NM_002767	4510	8000	4550	6250
NM_000587	33.3	74.4	56.9	71.5
BC022302	4.25	2.28	6	2.45
NM_006915	58.1	95	51.8	118
AT_nB_3	6.04	3.52	6.18	2.46
NM_000856	66.7	75.2	43.6	55.1
NM_145110	3510	6810	2850	4410
AK096230	4.44	2.33	6.47	2.49
CD614215	4.71	5.54	8.5	3.97
NM_030751	54.1	59.1	32.9	58.2
NM_006107	1400	4050	1030	2910
NR_002933	6080	12200	5140	10400
NM_005157	19.5	26.2	21.9	24.8
NM_014187	12500	15400	8440	11700
NM_206839	1410	5140	1850	6060
NM_006556	3760	6150	3310	5620
NM_000937	85.6	92.8	83.7	94.2
A_24_P383934	112	130	113	109
NM_015904	608	1170	778	872
NM_001042413	438	596	429	507
NM_016223	666	1220	572	993
NM_002216	5.17	2.48	8	2.54
NM_022910	373	463	647	783
NM_014069	3520	5330	3530	6150
NM_002332	11.9	21.4	11.1	37.5
BE739632	132	188	135	224
NM_032812	5.01	2.41	6.78	19.6
NM_014167	12500	18200	9110	13500
NM_014726	906	862	677	577
A_24_P772921	5.07	2.39	6.92	2.4
NM_017906	3230	5450	1650	3440
NM_001007531	5.08	2.38	6.95	2.41
ENST00000356177	11.1	26.6	10.1	28.5
NM_015483	872	1310	788	1300
NM_014046	35200	43500	27600	28500
THC2411168	5.04	2.35	6.87	2.43
THC2410088	23	36.7	15.2	30.8
CR619482	31000	53000	26400	43300
A_24_P195724	14000	25300	8630	18100
BC031618	349	596	320	681
NM_030630	21.6	18.8	20.8	31.5
NM_014443	4.87	2.29	6.54	2.42
NM_172070	126	214	154	252
AB033036	4.79	2.28	6.4	2.41
NM_138570	435	537	448	531
NM_025099	1000	1370	773	1180
NM_178160	4.67	5.53	6.18	4.28
THC2411106	114	92.9	92.9	93
NM_153486	36.4	62	76.5	209
NM_001007176	4.55	4	5.97	2.75
NM_024872	121	239	94.8	192
NM_032236	2260	2940	2460	3340
NM_025249	434	198	459	424
NM_000589	4.4	2.2	5.71	2.37
AL833908	63.1	55.9	59.6	59.3
A_24_P238996	21500	41000	19600	39500
NM_002168	435	589	563	938
ENST00000376802	2340	4670	3000	6380
BI490920	6.23	27.8	7.25	15.3
NM_024614	9.31	2.18	5.41	3.78
NM_014178	8.38	6.58	5.38	3.29
AJ242655	13	20.3	23.5	21.1
NM_203327	42.6	59.3	53.1	67.4
NM_199072	93.1	159	126	227
THC2354272	4.09	2.17	5.28	2.35
NM_003580	4170	8970	3280	7860
AK057167	1490	2620	1780	2990
NM_022845	728	700	563	949
AK097550	4.65	15.8	5.25	14.6
A_24_P919553	4.03	2.17	5.25	2.35
NM_005338	78.6	103	64.9	130
A_32_P96727	9.34	17	6.64	21.7
NM_003677	4030	7650	3460	6670
A_32_P121483	15.3	31.2	5.42	25.3
CR603201	321	443	122	365
ENST00000317648	4.04	2.2	5.37	2.38
E1A_r60_3	4.05	2.2	5.41	2.38
NM_000051	74.7	294	80.3	175
BC029907	140	277	131	226
NM_018649	240	428	185	334
X58747	4.11	3.53	5.61	2.4
NM_006828	1090	3100	2270	2720
NM_138740	5150	9180	6360	7150
NM_001495	34.1	37.4	52.3	43.7
NM_002982	77.7	111	87.9	139
NM_203487	4.24	2.27	5.96	2.44
NM_018442	397	934	469	1250
NM_006893	879	1860	794	1450
NM_007219	198	237	179	272
U46752	4.38	2.32	6.32	2.47
NM_014870	21.9	13.6	13	15.8
NM_006424	23.8	20.9	22.1	19.8
A_24_P928862	5.32	10	6.63	2.5
NM_003194	1110	2220	912	1900
NM_002746	154	285	195	301
E1A_r60_n11	27200	23300	22100	23600
NM_000423	4.69	2.39	7.06	2.52
NM_000211	6.07	18.5	7.17	25.1
NM_031482	163	340	107	240
NM_021729	778	1580	727	1500
NM_033306	8680	12200	4730	9410
NM_152388	4200	5240	3980	4570
AK023806	5	2.5	7.7	2.54
NM_000619	5.05	2.46	7.79	2.54
NM_014395	5.1	2.46	7.88	2.54
THC2432677	5.15	4.47	7.96	3.34
NM_021933	1450	1570	1430	1510
NM_003898	176	463	241	681
A_24_P481314	5.28	21	8.15	22.8
NM_001005862	1130	1460	1390	1730
NM_006136	1460	2600	896	2510
ENST00000383048	4.99	10.2	6.73	21.4
NM_017662	5.02	6.33	6.8	3.75
NM_033123	5.04	2.4	6.86	2.38
NM_006773	864	1270	592	911
BM309910	5.07	2.39	6.92	2.4
BX649059	106	142	156	250
NM_018231	1260	1200	1470	1470
A_24_P557890	9.87	2.37	6.92	2.42
NM_183061	5.06	2.36	6.91	2.42
NM_033410	45.3	45.1	43.4	40
NM_002961	177	173	183	269
AL122120	5	2.33	6.79	2.43
A_32_P51714	70.7	50.7	53.2	53
NM_152263	6750	10100	6260	10600
NM_001860	1530	2610	1680	2330
ENST00000382355	226	481	191	482
NM_018343	1660	2100	968	1670
ENST00000353250	11.4	9.5	7.28	5.95
NM_024761	17.1	21.7	13.9	19.4
BF955364	4.73	28.5	6.28	2.41
NM_019091	200	268	219	319
CR597822	4.65	2.25	11.5	2.4
CR602075	263	351	254	350
NM_003322	8.09	8.35	5.99	7.91
NM_032826	318	300	218	244
NM_153708	4.48	2.22	5.86	3.08
AL564305	61.1	59.2	54	67.5
NM_007346	22800	29600	20800	30800
NM_001017916	153	153	145	147
NM_015704	274	501	260	411
DB340110	57.9	65.5	39.1	54.2
CR612178	26200	41100	21200	34100
NM_001011703	32.6	50.2	34.7	54
AK095904	20	22.3	18.1	29.9
NM_173481	107	105	140	157
A_24_P670475	4.16	2.17	5.36	2.35
NM_145174	4.14	2.17	5.33	2.35
A_24_P246777	5.84	4.52	8.62	2.35
NM_001747	434	783	749	2130
AK026192	117	192	98.4	225
AK094789	4.06	2.17	5.25	2.35
NM_152436	4.05	2.17	5.24	2.35
BC009364	3830	6570	2640	5400
AK002019	179	344	137	342
BC045572	2460	5230	2070	3970
NM_004566	164	218	122	196
NM_024611	42.8	62.1	12.2	50.1
NM_002475	9910	21200	10000	24000
H40632	52.3	62.8	14.5	62.8
XM_931226	4.03	2.19	5.35	2.37
NM_000552	20.3	21.8	15.7	22.9
NM_005327	3700	5050	3860	4610
BX537532	252	573	382	784
AK027798	17.7	6.78	7.66	4.65
NM_003631	56.7	105	61.3	91.1
NM_001017535	2780	3700	4150	4250
NM_006425	2010	2980	1790	2870
NM_000539	4.19	3.01	6.03	2.43
NR_002196	4.22	7.76	5.92	2.76
NM_032833	53.3	93.6	49.3	69
NM_006567	921	1280	895	1020
NM_000553	1000	1500	871	1090
NM_173491	19.3	46	6.27	25.4
NM_002043	5.75	3.88	6.37	3.82
BC011940	694	717	884	1080
NM_018957	78.7	116	93.6	120
NM_002867	118	169	122	197
AA303143	23.1	56	15.5	37.3
NM_015559	4.62	6.8	6.9	6.88
NM_024989	171	410	303	486
NM_020914	17	31.8	36.8	51
NM_152275	51.9	104	71.7	144
NM_019044	161	323	133	343
NM_052924	222	562	302	648
NM_005174	2230	4820	1560	3790
NM_018474	317	476	393	468
BC014095	1140	1140	1510	1120
BC041393	5.08	2.46	7.84	2.53
NM_005675	1550	2250	1970	2690
BC031957	160	142	105	122
NM_014023	789	1070	536	1010
A_24_P802894	15.4	63.4	16.9	68.8
NM_020856	87.1	291	166	303
NM_000334	5.34	7.44	8.21	7.59
A_32_P164503	5	2.4	6.76	3.64
NM_017901	516	665	172	323
NM_002746	197	272	244	277
AY029066	184000	179000	166000	190000
NM_002643	1320	3490	1410	3210
NM_005578	283	459	359	564
E1A_r60_a104	11.4	2.84	6.92	3.42
NM_024026	3850	7420	3240	6650
NM_001798	189	404	360	414
THC2440027	235	349	419	664
A_24_P264413	135	111	129	82.6
CB306644	14.4	9.02	14.5	7.91
NM_001584	4.95	2.32	6.7	2.42
NM_006233	10300	18400	7020	15200
NM_198129	75	92.4	159	232
NM_002128	16500	30300	12800	28200
ENST00000330731	14.3	50.2	27.4	44.8
A_24_P931079	4.78	2.27	6.38	2.41
NM_001083	4.74	6.5	6.31	4.37
A_24_P919256	18.1	32.7	16.6	6.23
THC2409336	4.66	6.58	6.59	6.37
NM_000819	467	810	299	447
NM_015262	3730	4020	3810	4480
ENST00000341700	4.54	2.23	5.95	2.39
THC2341892	217	138	101	119
NM_138300	2270	3130	1840	2840
NM_024625	96.2	105	88.5	112
A_24_P367369	1790	3950	1150	3190
NM_014306	18000	25300	14700	22300
ENST00000301896	4.32	3.21	5.58	2.36
NM_145256	4.28	6.27	5.53	4.05
NM_182904	73.2	154	247	597
A_24_P551530	748	1370	782	1590
NM_014754	37700	44500	27900	34200
NM_001040441	488	625	487	863
NM_003211	1330	1950	1140	1750
AK025335	36.6	41.2	30.1	43.6
NM_017769	780	1240	700	1360
NM_002614	25.3	21.3	26	25.8
NM_000602	537	885	627	914
AK021933	19.4	35.8	19.4	34.4
NM_017956	1620	2420	1870	2320
BC048343	7970	10400	11200	15300
NM_005500	368	566	256	509
ENST00000378969	33000	43500	29000	45300
AK074138	4.02	2.17	5.26	2.35
NM_024798	118	206	112	222
A_23_P10987	144	433	72.2	278
NM_000607	263	266	130	161
NM_020120	1210	3310	1290	3370
NM_006565	150	219	137	193
ENST00000329156	149	254	198	319
THC2442464	4.07	2.21	5.5	2.39
THC2273822	4.37	2.22	5.55	2.39
BC001694	91.4	111	113	139
BC030106	448	682	1060	1310
NM_147171	2860	4360	3880	4500
NM_000618	4.18	2.41	8.62	2.42
A_24_P7330	98.9	258	219	327
U85992	7.84	52.1	10.5	21.7
NM_000125	5.01	2.28	6.05	2.44
NM_021029	68400	119000	50400	105000
NM_004120	4.34	2.43	17.3	31.1
THC2357547	38.8	73.1	6.32	60.5
BC032901	26.4	7.94	13.5	4.21
NM_007371	739	1250	678	1220
THC2250668	33.3	78.8	31	65.2
NM_012479	69.2	111	49	106
NM_004479	6.06	13.6	7.73	12.5
NM_005905	70.7	122	185	211
NM_203430	44800	95300	70100	91500
NM_004541	10600	15800	9550	14700
NM_032383	103	217	41.8	194
AL039916	18800	41500	18500	33600
NM_032228	92.3	245	68.9	160
ENST00000345111	4.95	3.88	7.61	2.53
NM_153332	152	423	233	296
NM_000785	113	149	205	178
NM_006595	228	372	184	320
NM_014572	1530	1640	1880	1620
NM_001923	3610	4560	2800	3900
AF037219	174	313	100	309
NM_002792	20700	33200	17300	31900
NM_006713	8260	23400	9110	22000
NM_025220	63.4	99.2	40.5	94.1
NM_015942	5960	7800	5410	5580
A_23_P403836	5.01	9.79	7.81	6.48
NM_001308	9.67	10	15.5	7.56
NM_000829	5.05	3.6	6.87	2.39
A_23_P119152	5.06	11.8	8.79	13
NM_181489	5.07	5.44	13.3	5.08
NM_199190	1970	2300	1350	1500
NM_199437	672	1230	805	1300
NM_018566	33.9	39.4	25.4	26.5
NM_178583	137	173	200	184
BC042064	5.01	2.34	6.81	2.42
NM_198557	19.2	19.9	26.5	24.3
ENST00000298249	150	253	209	335
NM_001765	4.93	2.31	6.66	2.42
NM_006401	6980	9770	7860	7380
NM_000430	6660	7860	6170	6550
BC038432	149	227	207	360
NM_002973	5360	7600	4470	7250
NM_052978	10.3	16.9	9.94	11.3
NM_012272	243	411	177	382
NM_002955	5.79	3.74	6.19	5.85
A_24_P931905	4.63	2.24	10.5	2.4
NM_004688	2260	3680	3260	5540
NM_006059	2070	1890	1470	1520
NM_001533	6960	8880	4910	8770
NM_001261	3940	4670	3330	4400
BC065192	11400	14500	9940	10200
BC023549	9.08	9.36	11.7	15.9
NegativeControl	4.36	2.19	5.66	2.37
E1A_r60_a135	191	195	152	195
NM_032717	2490	4060	1110	1330
NM_004354	307	322	621	1120
THC2433786	18.6	55.3	31.1	58.4
DCP_1_11	4.2	2.17	5.41	2.35
AK125351	45.5	87.7	38	101
AK056283	5.28	2.77	5.34	3.19
NM_001875	4.13	2.16	5.31	3.72
NM_020851	167	92.2	222	224
NM_003456	816	1140	641	1130
AK023040	119	257	64.3	136
NM_032141	584	997	596	870
NM_138364	250	340	212	329
AK097639	449	743	432	511
AF187554	520	826	688	866
NM_002228	7470	10100	7490	9760
THC2451747	54	66.8	34	55.5
ENST00000374865	221	458	121	390
BE749146	13.7	29.1	9.57	22.2
NM_173653	4.02	7.47	10.8	43.7
NM_000777	4.03	2.19	5.35	2.37
NM_152403	7.33	7.33	6.38	14.1
NM_003413	4.05	2.2	5.42	2.38
BC030714	40.6	75	54.7	83.7
NM_024312	100	117	72.6	105
NM_016186	16.8	7.02	8.17	2.39
NM_003945	14200	17000	16600	18500
ENST00000326678	54.3	64.9	44.9	44
M14755	118	123	177	124
BC025734	49.6	90.7	76.4	112
NM_018660	103	263	188	288
AK027859	1790	2950	1770	2510
BC021857	577	1130	444	960
NM_001010864	10.2	15.7	6.18	9.77
XM_926717	36800	45500	23400	36300
A_24_P84401	11.3	32	6.37	21.3
NM_016543	18	10.1	18.4	5.08
NM_001065	561	911	616	826
NM_004703	114	198	77.1	137
NM_018975	5100	5630	5420	5610
THC2409452	4.62	3.58	6.9	4.16
NM_006000	871	1720	1210	1800
NM_180991	20	55.9	37.4	70.7
NM_001039547	83.2	218	50.1	179
NM_024107	435	648	256	793
NM_006082	53700	195000	67400	193000
NM_032901	19600	34500	16100	26600
NM_003002	2910	6830	1890	4960
BX118285	17.4	46.6	31.8	61.9
AK125162	104	145	165	287
A_24_P924240	7.44	21.6	9.95	13.6
NM_018292	1710	3660	1850	2290
AW386276	10.3	2.47	8.08	2.52
NM_014674	73	204	77.6	235
NM_181709	17200	51300	15300	56000
A_24_P915245	5.34	3.45	8.22	2.49
NM_001037582	127	148	223	260
NM_018902	167	228	170	245
NM_178161	5.04	2.4	7.16	2.38
NM_172174	229	312	393	560
A_24_P200962	25.4	41.2	30.9	33.3
NM_024854	309	556	271	434
AK127969	84.6	232	105	204
NM_022085	13900	27100	14600	24200
NM_138369	871	2410	1460	2110
NM_000944	2140	3500	2550	4140
NM_001008779	71.3	70.6	86.3	81.1
NM_017907	3480	5810	3980	5830
AF085920	4.94	2.32	6.68	2.42
A_24_P916331	11.6	2.39	6.62	2.42
NM_032622	4.88	2.3	6.56	2.42
AK092987	4.84	16.9	9.71	13.3
NM_182620	3210	4840	3290	5400
NM_005178	5230	9980	7030	14500
NM_003149	70.2	137	71.1	98.8
NM_020240	2710	4480	2520	5220
NM_005082	666	1030	610	896
AB011149	26	18.4	15.3	22.9
AK023417	116	168	95.5	192
NM_003015	4.53	3.35	5.93	2.38
BX537819	21.6	5.39	14.2	8.01
A_32_P197476	4.45	2.21	5.8	2.37
NM_001032389	21.3	47	18.5	32.6
NM_003141	98.6	128	134	187
THC2425726	7.41	13.6	5.62	10.8
NM_170753	204	334	276	457
A_32_P178017	4.27	2.18	5.52	2.35
NM_001001481	2470	3110	2810	3690
NM_000984	705	2110	405	1030
NM_024731	1600	2840	1730	3110
NM_005828	1100	1410	1260	2140
NM_176810	4.14	2.16	5.32	2.34
NM_198129	4.12	2.16	5.3	6.71
NM_019606	4490	6410	3370	5740
NM_001008747	94.4	184	95.1	209
NM_003290	6140	14200	9500	20900
AK057798	30.6	39.8	36.5	52
A_24_P192017	4.04	2.16	5.23	2.34
ENST00000295399	247	355	269	322
NM_004910	452	461	497	820
ENST00000371388	37600	64900	32000	63400
NM_021269	18.1	18.9	12.5	24
BC067244	2430	4590	2510	5500
BC009463	2320	2690	2030	2770
NM_000860	4.03	3.46	5.33	3.78
AA464246	135	177	144	239
NM_004707	1600	3320	1780	2910
NM_080747	4.06	2.2	5.44	2.38
NM_005933	189	170	176	166
E1A_r60_a104	11.3	5.67	5.54	8.21
NM_000833	8.72	2.22	5.6	2.39
XM_497719	447	737	432	607
NM_004137	149	233	187	231
A_32_P7193	37.9	88.9	46.9	91.3
NM_001975	495	655	1030	1330
NM_004741	3060	7920	2030	4210
NM_016263	215	285	224	285
NM_006330	3120	7060	1420	3940
A_24_P924125	4.34	5.23	6.23	2.45
THC2409355	4.38	2.99	6.32	2.46
NM_006060	4.42	2.32	6.42	2.47
AL109706	8.97	8.89	11.7	8.33
AT_T_M	4.51	2.34	6.63	2.48
THC2341060	4.55	8.81	6.74	13.1
ENST00000374534	38900	70500	26100	73300
THC2374814	32	92.3	44.5	91.3
NM_000803	4.7	28.7	25.7	23.6
E1A_r60_a107	16.5	22.1	23.9	18.3
NM_003516	5530	4240	6660	6150
NM_001729	11.5	11.5	7.4	31.2
ENST00000309004	12000	26400	10600	20200
NM_024326	2540	4910	4040	5460
BC031108	5	2.44	7.72	2.53
AF118062	5.05	2.44	7.81	2.53
NM_012449	1810	6110	2590	5190
NM_002967	97.4	136	82.5	111
NM_000529	5.2	5.35	8.06	9.8
NM_003390	283	389	264	491
E1A_r60_a22	1650	2460	1940	2460
NM_001005185	5.32	10.1	8.21	9.67
NM_205863	6.19	12.9	8.24	18.6
THC2339002	4.97	2.41	6.68	2.35
NM_002824	5460	8420	5620	9640
NM_003870	1540	2550	1210	2440
A_24_P173895	5.04	2.39	6.84	2.39
ENST00000378624	241	322	139	194
THC2342255	67.9	82.9	72.2	114
AA725389	338	353	396	376
AK095853	5.06	10.3	9.21	13.1
NM_015511	1700	1980	1480	1580
NM_015166	14.5	2.35	6.83	8.87
NM_173794	1680	2680	1700	2790
NM_006916	1130	2490	1180	2420
A_24_P7820	4.95	25.2	6.7	9.16
NM_017899	263	376	334	521
NM_173560	4.89	2.3	6.58	2.42
BQ184185	4.85	2.29	6.52	2.42
NM_194455	1000	1540	1040	1490
NM_023078	2980	4110	2240	2900
NM_032309	1090	1330	1100	1460
AB004064	519	1030	351	824
NM_022049	4.66	2.25	6.17	2.4
NM_006570	5890	8180	5510	9320
AY037163	4.58	2.23	6.03	2.39
THC2280837	13.8	15.5	20.4	21
NM_001562	4.5	2.22	5.89	6.58
AT_L_3	4.47	2.21	5.82	2.38
A_24_P540560	44	49.1	27.6	47.8
NM_133446	70.9	105	84.3	106
NM_002037	1320	1820	1330	1870
NM_018228	25.8	6.4	29.1	7.86
NM_004066	4.28	2.18	5.53	2.35
AF339766	4.87	5.28	5.49	7.35
NM_005276	22.3	14.6	20.7	16.9
AK092450	482	609	405	596
NM_000713	6020	10100	6800	12300
NM_032383	507	1090	403	1060
NM_000448	30.2	38.6	20	27.5
BC025775	4.1	2.16	5.28	2.34
THC2304761	272	327	278	314
NM_002109	3850	6650	3600	6290
NM_014640	393	1270	179	457
DB381305	4.04	2.16	5.23	2.34
DCP_20_1	460	520	356	562
AL136929	4.12	9.24	5.23	11.4
BC042064	4.02	3.25	5.23	3.38
NM_053053	216	359	191	378
A_23_P247	4.02	10.1	5.62	9.7
ENST00000267857	51.1	23.3	113	95.6
ENST00000328945	9.21	10.9	11.5	8.89
NM_015324	4470	7590	2180	3940
THC2381210	51.2	111	28	56.4
NM_007236	59.2	86.9	56.8	84.3
BC023973	57.4	71.6	81.8	78.2
NM_080676	46.6	103	57.4	112
NM_033115	80.7	185	107	225
BC033977	4.62	2.22	5.63	2.39
XM_380042	8440	13300	9750	12100
NM_001764	4.17	2.24	5.77	2.41
AK024455	4.19	4.53	5.84	2.42
THC2440913	2610	7250	4400	7520
NM_006037	316	461	483	578
ENST00000325680	12.9	15.4	7.8	8.54
NM_005459	4.32	2.29	6.18	2.45
NM_005194	10600	13400	8700	8390
NM_020898	156	225	238	392
NM_004419	357	972	260	487
NM_004980	7.14	2.33	6.58	2.48
NM_145111	67.5	138	16.4	120
E1A_r60_a135	152	205	133	205
NM_001007260	2660	3440	2780	3380
A_24_P929279	4.67	4.01	7.02	4.59
A_24_P400690	8.03	17.3	42.9	13.9
NM_198443	61.4	123	132	227
NM_198439	14.2	22.7	7.35	34.1
BX111338	11.4	16.2	7.46	12
AF034187	89.5	137	104	197
NM_172241	4.98	3.97	7.67	2.52
AK055877	5.03	2.44	7.77	2.52
NM_057088	108	144	158	195
NM_013310	446	1340	498	1280
NM_003514	211	384	276	546
AK074161	85.8	85.4	24.6	40.2
ENST00000367385	248	416	125	324
NM_001315	1400	2550	1720	2760
A_24_P152855	89.2	216	76.5	176
NM_001486	4.99	2.4	6.71	2.36
BM675169	5.01	2.4	6.77	2.37
AK026338	136	184	144	161
THC2284189	28.1	37.4	16.9	20.4
NM_002154	2880	4700	2650	3920
NM_000518	10.7	2.38	17.5	2.87
NM_002032	15800	18200	40200	28700
A_24_P730088	5.04	7.54	6.85	2.42
NM_020408	141	282	140	222
NM_018183	1250	2250	1200	2180
NM_024561	287	568	212	397
NM_002735	54	87.4	61.6	86.8
BC028192	1540	2550	1020	1810
NM_018932	30.5	42.7	32	59.3
THC2400343	4.87	5.64	7.31	3.7
NM_152317	46.8	61.5	49.6	69.9
A_24_P367399	72.6	150	79.6	125
XM_946373	12.7	7.23	20.1	8.86
NM_012448	60.1	96	104	136
NM_000102	8.16	4.15	6.19	4.19
XM_943120	6490	9610	7700	8640
NM_214677	71.1	60.3	45.8	56.9
NM_000073	9.56	6.99	10.6	2.39
NM_000992	32900	46200	28000	41000
NM_174910	166	209	152	246
BC041955	378	436	160	254
NM_032859	4.4	8.02	5.72	2.37
AF256215	633	2030	763	983
A_24_P323795	170	292	147	269
BC029395	8.85	12.2	13	27.5
AK124941	4.27	24.2	6.34	16.6
THC2265980	6.04	8.3	5.46	5.58
NM_016340	104	224	78	194
NM_000771	4.18	2.17	5.38	2.34
BC003386	4.15	2.16	5.34	2.34
AY358788	4.13	2.16	6.14	2.34
NM_020425	99.4	283	66.4	199
BE551270	88.9	157	87.6	141
AW449150	4.07	2.16	5.25	2.34
ENST00000380683	4.06	8.54	9.7	17.1
NM_014575	6740	8330	3970	6370
NM_014638	90	136	91.8	146
THC2398771	4.03	2.16	5.22	2.34
NM_006544	18.8	51.7	21.1	56.5
BC008927	23.5	36.7	25.7	41.6
NM_002214	4.01	2.17	5.25	2.35
BC032803	299	529	267	399
NM_173812	172	396	169	470
NM_000041	3990	4630	5060	9450
NM_022900	364	531	429	632
NM_001219	1180	1800	1250	1750
A_24_P332532	10300	14900	6050	9280
NM_005225	2410	4920	2580	4000
NM_024029	82.2	95.4	83.6	112
NM_147191	8.85	2.22	5.61	2.39
AK024467	4.19	2.22	5.66	2.4
NM_001004440	15.9	22.5	29.5	43.2
A_24_P187304	179	365	242	281
